,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth,Base,Quote
1292,LUNA/USDT,Huobi Indonesia,0.0,0.0,1068326.57,165363.1,LUNA,USDT
1293,LUNA/UST,KuCoin,20716060.0,1.28,431442.76,445938.63,LUNA,UST
1294,LUNA/WRX,WazirX,11800.0,0.0,658.44,-,LUNA,WRX
1295,MASK/BNB,Binance,530569.0,0.03,29219.66,39893.17,MASK,BNB
1296,MATIC-84A/BNB,Binance DEX,60452.0,0.01,56533.16,117711.28,MATIC-84A,BNB
1297,MATIC/AUD,Binance,415754.0,0.05,82300.52,51257.77,MATIC,AUD
1298,MATIC/BIDR,Binance,256926.0,0.03,69342.62,28222.44,MATIC,BIDR
1299,MATIC/BNB,Binance,2117867.0,0.25,153412.36,214121.51,MATIC,BNB
1300,MATIC/BNB,Binance,2107930.0,0.11,158368.3,220732.03,MATIC,BNB
1301,MATIC/BNT,Bancor Network,317822.0,0.04,-,-,MATIC,BNT
1302,MATIC/BRL,Binance,195041.0,0.02,50172.17,17934.81,MATIC,BRL
1303,MATIC/BTC,Binance,15347179.0,1.84,442445.0,434432.78,MATIC,BTC
1304,MATIC/BTC,Binance,15320132.0,0.04,426384.92,435294.98,MATIC,BTC
1305,MATIC/BTC,Coinbase Exchange,4374994.0,0.53,346083.2,391126.09,MATIC,BTC
1306,MATIC/BTC,GokuMarket,719543.0,0.09,65974.43,159549.32,MATIC,BTC
1307,MATIC/BTC,Huobi Global,665623.0,0.08,101887.45,107131.61,MATIC,BTC
1308,MATIC/BTC,KuCoin,521359.0,0.06,79792.24,118710.07,MATIC,BTC
1309,MATIC/BTC,FTX US,460868.0,0.06,898071.48,883090.87,MATIC,BTC
1310,MATIC/BTC,Crypto.com Exchange,266592.0,0.03,401672.8,457186.46,MATIC,BTC
1311,MATIC/BTC,Bittrex,263435.0,0.03,57055.39,88903.04,MATIC,BTC
1312,MATIC/BTC,ProBit Global,256608.0,0.03,551.21,1223.33,MATIC,BTC
1313,MATIC/BTC,FTX,199805.0,0.02,38656.34,35609.22,MATIC,BTC
1314,MATIC/BTC,AscendEX (Bitmax),81647.0,0.01,127424.18,125402.63,MATIC,BTC
1315,MATIC/BTC,Poloniex,24397.0,0.0,26341.87,28641.28,MATIC,BTC
1316,MATIC/BTC,Bithumb,7731.0,0.0,-,1259.69,MATIC,BTC
1317,MATIC/BTC,WazirX,2359.0,0.0,16358.46,16326.77,MATIC,BTC
1318,MATIC/BUSD,Binance,24041604.0,2.89,419484.29,382348.83,MATIC,BUSD
1319,MATIC/BUSD,Binance.US,4620874.0,0.56,217138.89,130762.81,MATIC,BUSD
1320,MATIC/ETH,Huobi Global,229175.0,0.03,43124.38,55628.48,MATIC,ETH
1321,MATIC/ETH,Bittrex,42826.0,0.01,35617.92,33535.14,MATIC,ETH
1322,MATIC/ETH,Gate.io,42472.0,0.01,31697.11,32623.12,MATIC,ETH
1323,MATIC/EUR,Coinbase Exchange,6326873.0,0.76,382923.22,353385.44,MATIC,EUR
1324,MATIC/EUR,Binance,3428282.0,0.41,84642.94,116839.15,MATIC,EUR
1325,MATIC/EUR,Kraken,1335166.0,0.16,375544.65,319618.76,MATIC,EUR
1326,MATIC/EUR,Bitstamp,168009.0,0.02,61033.34,65249.08,MATIC,EUR
1327,MATIC/GBP,Coinbase Exchange,3563284.0,0.43,355160.88,383212.01,MATIC,GBP
1328,MATIC/GBP,Binance,271444.0,0.03,69364.67,23703.27,MATIC,GBP
1329,MATIC/GBP,Kraken,213281.0,0.03,194983.13,157748.04,MATIC,GBP
1330,MATIC/IDR,Indodax,1411999.0,0.17,355074.29,278457.59,MATIC,IDR
1331,MATIC/INR,WazirX,3162822.0,0.38,29534.07,29404.11,MATIC,INR
1332,MATIC/INR,ZebPay,1571585.0,0.19,39820.14,51629.01,MATIC,INR
1333,MATIC/INR,CoinDCX,885729.0,0.11,37721.99,17215.13,MATIC,INR
1334,MATIC/KRW,Bithumb,795034.0,0.1,72163.11,17313.74,MATIC,KRW
1335,MATIC/QC,ZB.COM,188704.0,0.02,19059.58,11419.21,MATIC,QC
1336,MATIC/RUB,Binance,69742.0,0.01,30874.97,14506.46,MATIC,RUB
1337,MATIC/TRX,Poloniex,1685.0,0.0,807.76,759.0,MATIC,TRX
1338,MATIC/TRY,BtcTurk | Pro,4778858.0,0.57,378727.45,295635.4,MATIC,TRY
1339,MATIC/TRY,Binance,2697538.0,0.32,106547.43,54950.78,MATIC,TRY
1340,MATIC/TRY,Paribu,971128.0,0.12,100287.7,98865.97,MATIC,TRY
1341,MATIC/USD,Coinbase Exchange,72883630.0,8.76,1204224.7,1021815.09,MATIC,USD
1342,MATIC/USD,Binance.US,38363428.0,4.61,776456.84,609178.57,MATIC,USD
1343,MATIC/USD,FTX,20781896.0,2.5,441220.99,397157.53,MATIC,USD
1344,MATIC/USD,Kraken,4085580.0,0.49,587893.28,657787.24,MATIC,USD
1345,MATIC/USD,Gemini,2546919.0,0.31,767218.55,1006920.54,MATIC,USD
1346,MATIC/USD,CEX.IO,1898890.0,0.23,154300.75,160106.67,MATIC,USD
1347,MATIC/USD,FTX US,1091033.0,0.13,924373.6,936370.83,MATIC,USD
1348,MATIC/USD,eToroX,759109.0,0.09,554612.53,696530.95,MATIC,USD
1349,MATIC/USD,Bitstamp,302599.0,0.04,81634.21,86944.64,MATIC,USD
1350,MATIC/USD,Bittrex,163682.0,0.02,66650.51,46382.76,MATIC,USD
1351,MATIC/USD,Coinlist Pro,7679.0,0.0,122285.32,181785.55,MATIC,USD
1352,MATIC/USDC,Crypto.com Exchange,317172.0,0.04,406716.99,425368.8,MATIC,USDC
1353,MATIC/USDC,Poloniex,18958.0,0.0,19557.49,19343.85,MATIC,USDC
1354,MATIC/USDT,Binance,118848680.0,14.29,1252422.09,1242507.92,MATIC,USDT
1355,MATIC/USDT,WhiteBIT,39962660.0,4.8,585404.65,551810.03,MATIC,USDT
1356,MATIC/USDT,OKEx,36917490.0,4.44,236601.5,223910.24,MATIC,USDT
1357,MATIC/USDT,Huobi Global,16237577.0,1.95,375648.71,369587.03,MATIC,USDT
1358,MATIC/USDT,KuCoin,7425324.0,0.89,596660.5,509314.58,MATIC,USDT
1359,MATIC/USDT,WOO Network,6056300.0,0.73,1685022.04,1542629.39,MATIC,USDT
1360,MATIC/USDT,Gate.io,5649448.0,0.68,545709.51,635878.65,MATIC,USDT
