Exchange,Symbol,Price,+2% Depth,-2% Depth,Volume,Volume %,Confidence,Liquidity,Updated,Base,Quote
Huobi Global,BCH/BTC,53942.9,193169.57,255804.08,11169031.0,0.03,High,491.0,Recently,BCH,BTC
Huobi Global,BSV/BTC,53901.32,73664.71,151132.02,11102830.0,0.03,Low,216.0,Recently,BSV,BTC
Binance,EOS/BTC,53901.32,462422.14,630223.1,11017783.0,0.03,High,508.0,Recently,EOS,BTC
Binance,CAKE/BTC,53949.4,199776.33,673479.43,10957163.0,0.03,High,849.0,Recently,CAKE,BTC
Bitstamp,ETH/BTC,53901.32,1690651.09,1388998.59,10917574.0,0.03,High,339.0,Recently,ETH,BTC
Coinbase Exchange,DOT/BTC,53901.32,355418.35,616451.9,10884292.0,0.03,High,333.0,Recently,DOT,BTC
Coinbase Exchange,MIR/BTC,54272.0,54393.55,8720.12,10794698.0,0.03,High,150.0,Recently,MIR,BTC
Huobi Global,LTC/BTC,53949.4,299107.88,319229.77,10367141.0,0.03,Moderate,356.0,Recently,LTC,BTC
Binance,ETH/USDT,3594.53,21178782.16,11672326.19,1771414378.0,9.23,High,877.0,Recently,ETH,USDT
Huobi Global,ETH/USDT,3596.72,8169633.9,8428397.21,674062799.0,3.51,Low,838.0,Recently,ETH,USDT
Coinbase Exchange,ETH/USD,3598.71,25429295.6,11920881.86,671799084.0,3.5,High,838.0,Recently,ETH,USD
Binance,ETH/BUSD,3595.26,7613165.82,4680496.66,602504605.0,3.14,High,841.0,Recently,ETH,BUSD
KuCoin,ETH/USDT,3598.04,8008592.39,6477063.08,420706246.0,2.19,High,856.0,Recently,ETH,USDT
FTX,ETH/USD,3599.2,8953654.59,5722886.35,391163718.0,2.04,Moderate,855.0,Recently,ETH,USD
Binance,ETH/BTC,3604.35,7538760.36,3220331.38,387395184.0,2.02,High,908.0,Recently,ETH,BTC
Gate.io,ETH/USDT,3598.64,2685263.03,1342315.37,260228270.0,1.36,High,769.0,Recently,ETH,USDT
Binance,ETH/EUR,3553.99,1504461.83,959107.52,130935979.0,0.68,High,687.0,Recently,ETH,EUR
FTX,ETH/USDT,3597.42,4551374.21,2579605.59,104112253.0,0.54,High,803.0,Recently,ETH,USDT
Kraken,ETH/USD,3599.8,25404242.33,19656747.8,91916063.0,0.48,High,694.0,Recently,ETH,USD
